starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 13:12:03 2019	1553789523	0	6003	6004	4002
Thu Mar 28 13:13:47 2019	1553789627	0	6004	6004	4003
Thu Mar 28 13:12:43 2019	1553789563	0	6004	6004	4003
Thu Mar 28 13:09:58 2019	1553789398	0	6004	6004	4004
Thu Mar 28 13:11:51 2019	1553789511	1	6003	6004	4002
Thu Mar 28 13:12:46 2019	1553789566	1	6003	6004	4002
Thu Mar 28 13:12:34 2019	1553789554	1	6003	6004	4002
Thu Mar 28 13:10:00 2019	1553789400	1	6003	6004	4002
Thu Mar 28 13:13:57 2019	1553789637	0	6004	6004	4004
Thu Mar 28 13:12:36 2019	1553789556	0	6004	6004	4005
Thu Mar 28 13:10:48 2019	1553789448	1	6003	6004	4003
Thu Mar 28 13:10:00 2019	1553789400	0	6004	6004	4003
Thu Mar 28 13:11:17 2019	1553789477	0	6004	6004	4004
Thu Mar 28 13:10:52 2019	1553789452	0	6004	6004	4003
Thu Mar 28 13:13:29 2019	1553789609	0	6004	6004	4004
Thu Mar 28 13:12:20 2019	1553789540	0	6004	6004	4004
Thu Mar 28 13:11:02 2019	1553789462	0	6004	6004	4003
Thu Mar 28 13:14:30 2019	1553789670	0	6004	6004	4002
Thu Mar 28 13:12:52 2019	1553789572	0	6004	6004	4004
Thu Mar 28 13:14:39 2019	1553789679	0	6004	6004	4004
Thu Mar 28 13:10:16 2019	1553789416	0	6004	6004	4004
Thu Mar 28 13:13:13 2019	1553789593	0	6004	6004	4003
Thu Mar 28 13:14:14 2019	1553789654	1	6003	6004	4002
Thu Mar 28 13:10:18 2019	1553789418	0	6004	6004	4003
Thu Mar 28 13:14:38 2019	1553789678	0	6004	6004	4004
Thu Mar 28 13:11:15 2019	1553789475	0	6004	6004	4003
